Term,Year,Party,Average%_Effect,Facebook_Posts,%Facebook_Reactions,%Facebook_Shares,Number_Tweets,%Effect_TwitterFavorites,%Effect_TwitterRetweets
adam schiff,2019,R,5.621,981,1.963,2.483,903,8.198,9.839
schiff,2019,R,2.119,1265,0.897,1.094,1638,2.798,3.6860000000000004
impeachment inquiry,2019,R,2.094,1073,0.9279999999999999,1.095,757,2.987,3.366
human right,2019,R,2.001,389,0.601,0.435,702,2.839,4.128
impeachment,2019,R,1.963,4794,1.65,1.368,5735,2.198,2.637
fbi,2019,R,1.744,545,0.863,1.095,789,2.1719999999999997,2.8480000000000003
house democrat,2019,R,1.3119999999999998,2347,0.45899999999999996,1.048,1413,1.643,2.1
illegal immigrant,2019,R,1.203,676,0.8320000000000001,2.135,448,0.767,1.0759999999999998
speaker pelosi,2019,R,1.187,1575,0.44,0.871,967,1.6,1.838
crisis southern border,2019,R,1.169,784,1.227,1.8259999999999998,640,0.825,0.799
christmas,2019,R,1.143,918,1.7369999999999999,0.36,761,1.391,1.085
mueller report,2019,R,1.11,570,0.757,0.701,522,1.515,1.466
member congress,2019,R,1.067,1343,0.617,0.743,848,1.4469999999999998,1.46
born alive,2019,R,1.046,700,0.73,1.068,573,1.147,1.238
border,2019,R,0.932,6908,1.1,1.329,7914,0.573,0.725
green deal,2019,R,0.9,733,1.09,1.3840000000000001,467,0.535,0.59
mueller,2019,R,0.899,1206,0.648,0.5329999999999999,1339,1.185,1.229
president trump,2019,R,0.893,8048,0.8540000000000001,0.9109999999999999,2502,0.87,0.937
china,2019,R,0.8759999999999999,1421,0.307,0.239,2487,1.0859999999999999,1.87
witness,2019,R,0.861,895,0.14300000000000002,0.317,976,1.294,1.689
abortion,2019,R,0.8220000000000001,1702,0.89,1.181,1413,0.519,0.698
nancy pelosi,2019,R,0.821,1693,0.475,0.907,581,0.8759999999999999,1.028
israel,2019,R,0.7909999999999999,982,0.847,0.6940000000000001,1294,0.777,0.845
president united state,2019,D,1.848,609,1.577,1.499,654,2.25,2.064
donald trump,2019,D,1.321,5621,0.8290000000000001,1.258,2173,1.521,1.675
impeachment inquiry,2019,D,1.1840000000000002,1605,0.748,0.397,1220,1.952,1.64
elijah cummings,2019,D,1.099,782,1.598,1.148,428,1.015,0.635
mueller report,2019,D,1.001,1300,0.64,0.5670000000000001,1338,1.3980000000000001,1.3969999999999998
mitch mcconnell,2019,D,0.995,2262,0.483,1.014,1341,1.0270000000000001,1.4569999999999999
barr,2019,D,0.99,1169,0.698,0.574,2148,1.198,1.4909999999999999
impeachment,2019,D,0.975,3832,0.848,0.513,3816,1.248,1.291
senate floor,2019,D,0.9690000000000001,558,1.128,0.965,718,0.88,0.904
universal background check,2019,D,0.912,769,0.7609999999999999,0.645,951,1.123,1.1179999999999999
racist,2019,D,0.9079999999999999,923,0.601,0.6859999999999999,1460,1.129,1.217
year old,2019,D,0.883,1475,0.9520000000000001,1.107,803,0.782,0.691
abuse power,2019,D,0.88,764,0.5329999999999999,0.39299999999999996,1154,1.2930000000000001,1.3019999999999998
tax cut,2019,D,0.8690000000000001,700,0.616,1.3159999999999998,715,0.6,0.945
attorney general,2019,D,0.866,1522,0.591,0.634,1210,1.099,1.14
migrant child,2019,D,0.8270000000000001,618,0.768,1.218,382,0.5670000000000001,0.753
breaking,2019,D,0.794,1109,0.455,0.544,1114,0.988,1.19
rule law,2019,D,0.7929999999999999,610,0.395,0.3,923,1.26,1.218
mueller,2019,D,0.78,2290,0.845,0.5479999999999999,3172,0.8390000000000001,0.89
